"","X1","R_square","AIC","BIC","ID","Model"
"1",1,0.989971497405513,-86.6432913210972,-79.8068121711648,"Chryseobacterium.balustinum_TSB_5_1_0","Cubic"
"2",2,0.994449552410709,-105.798320402054,-100.329137082108,"Chryseobacterium.balustinum_TSB_5_1_0","Logistic"
"3",3,0.997285999895564,-124.546514570702,-117.710035420769,"Chryseobacterium.balustinum_TSB_5_1_0","Logisticlag"
"4",4,0.997280640380565,-124.489302829426,-117.652823679493,"Chryseobacterium.balustinum_TSB_5_1_0","Gompertz"
"5",5,0.994031771366329,-101.693743976726,-94.8572648267933,"Chryseobacterium.balustinum_TSB_5_1_0","Baranyi"
"6",6,NA,NA,NA,"Chryseobacterium.balustinum_TSB_5_1_0","Buchanan"
"7",1,0.978958853462383,-92.8769871287326,-86.0405079788002,"Acinetobacter.clacoaceticus.2_TSB_5_1_0","Cubic"
"8",2,0.988317080399769,-111.939194191467,-106.470010871521,"Acinetobacter.clacoaceticus.2_TSB_5_1_0","Logistic"
"9",3,0.991782429578189,-120.142940346213,-113.306461196281,"Acinetobacter.clacoaceticus.2_TSB_5_1_0","Logisticlag"
"10",4,0.991784274076761,-120.149450355853,-113.312971205921,"Acinetobacter.clacoaceticus.2_TSB_5_1_0","Gompertz"
"11",5,0.990933860686456,-117.293054586787,-110.456575436855,"Acinetobacter.clacoaceticus.2_TSB_5_1_0","Baranyi"
"12",6,NA,NA,NA,"Acinetobacter.clacoaceticus.2_TSB_5_1_0","Buchanan"
"13",1,0.836506623533311,3.58284481309493,6.00737806203493,"Tetraselmis tetrahele_ESAW_16_2_1","Cubic"
"14",2,0.824403799103487,2.43981962155493,4.37944622070693,"Tetraselmis tetrahele_ESAW_16_2_1","Logistic"
"15",3,0.969320617484038,-16.4953347338429,-14.0708014849029,"Tetraselmis tetrahele_ESAW_16_2_1","Logisticlag"
"16",4,0.969320620584591,-16.4953359465997,-14.0708026976597,"Tetraselmis tetrahele_ESAW_16_2_1","Gompertz"
"17",5,0.969320622086121,-16.4953365339118,-14.0708032849718,"Tetraselmis tetrahele_ESAW_16_2_1","Baranyi"
"18",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_16_2_1","Buchanan"
"19",1,0.900690615568515,-7.09379867576528,-4.2690518884576,"Tetraselmis tetrahele_ESAW_16_3_1","Cubic"
"20",2,0.892006426204821,-8.0039872125593,-5.74418978271315,"Tetraselmis tetrahele_ESAW_16_3_1","Logistic"
"21",3,0.980275173780839,-28.1065048828607,-25.281758095553,"Tetraselmis tetrahele_ESAW_16_3_1","Logisticlag"
"22",4,0.979440647806997,-27.5678125019201,-24.7430657146124,"Tetraselmis tetrahele_ESAW_16_3_1","Gompertz"
"23",5,0.980301058334228,-28.1235757647402,-25.2988289774325,"Tetraselmis tetrahele_ESAW_16_3_1","Baranyi"
"24",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_16_3_1","Buchanan"
"25",1,0.860946207484816,1.31316291613764,4.13790970344532,"Tetraselmis tetrahele_ESAW_16_4_1","Cubic"
"26",2,0.851718856109464,0.148403008436119,2.40820043828227,"Tetraselmis tetrahele_ESAW_16_4_1","Logistic"
"27",3,0.424514102375769,19.7777632068995,22.6025099942071,"Tetraselmis tetrahele_ESAW_16_4_1","Logisticlag"
"28",4,0.424517437120633,19.7776878761068,22.6024346634145,"Tetraselmis tetrahele_ESAW_16_4_1","Gompertz"
"29",5,NA,NA,NA,"Tetraselmis tetrahele_ESAW_16_4_1","Baranyi"
"30",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_16_4_1","Buchanan"
"31",1,0.930038624824825,-11.7699244788137,-8.94517769150607,"Tetraselmis tetrahele_ESAW_16_5_1","Cubic"
"32",2,0.934323474099347,-14.5915470615064,-12.3317496316602,"Tetraselmis tetrahele_ESAW_16_5_1","Logistic"
"33",3,0.992417930550952,-40.6579671658272,-37.8332203785195,"Tetraselmis tetrahele_ESAW_16_5_1","Logisticlag"
"34",4,0.991142551848745,-38.636824310838,-35.8120775235303,"Tetraselmis tetrahele_ESAW_16_5_1","Gompertz"
"35",5,0.992664016769922,-41.0868986272743,-38.2621518399666,"Tetraselmis tetrahele_ESAW_16_5_1","Baranyi"
"36",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_16_5_1","Buchanan"
"37",1,0.68407997876252,-2.06578156228557,0.758965225022109,"Tetraselmis tetrahele_ESAW_25_1_1","Cubic"
"38",2,0.734422284465838,-6.32234200448218,-4.06254457463603,"Tetraselmis tetrahele_ESAW_25_1_1","Logistic"
"39",3,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_1_1","Logisticlag"
"40",4,0.531259849523831,3.0634916847829,5.88823847209058,"Tetraselmis tetrahele_ESAW_25_1_1","Gompertz"
"41",5,0.795369682486697,-7.71147437118687,-4.88672758387918,"Tetraselmis tetrahele_ESAW_25_1_1","Baranyi"
"42",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_1_1","Buchanan"
"43",1,0.731541098422252,-4.2775913490333,-1.45284456172562,"Tetraselmis tetrahele_ESAW_25_2_1","Cubic"
"44",2,0.733304768291698,-6.3632780321197,-4.10348060227355,"Tetraselmis tetrahele_ESAW_25_2_1","Logistic"
"45",3,0.739825007947375,-4.68505534760883,-1.86030856030115,"Tetraselmis tetrahele_ESAW_25_2_1","Logisticlag"
"46",4,0.739837587209931,-4.68568390289524,-1.86093711558756,"Tetraselmis tetrahele_ESAW_25_2_1","Gompertz"
"47",5,0.825841067709926,-9.90307548866651,-7.07832870135883,"Tetraselmis tetrahele_ESAW_25_2_1","Baranyi"
"48",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_2_1","Buchanan"
"49",1,0.697398363747353,-4.44811890422583,-1.62337211691815,"Tetraselmis tetrahele_ESAW_25_3_1","Cubic"
"50",2,0.817852183561208,-13.0469016529412,-10.7871042230951,"Tetraselmis tetrahele_ESAW_25_3_1","Logistic"
"51",3,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_3_1","Logisticlag"
"52",4,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_3_1","Gompertz"
"53",5,0.866296356661687,-15.0664080768281,-12.2416612895204,"Tetraselmis tetrahele_ESAW_25_3_1","Baranyi"
"54",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_3_1","Buchanan"
"55",1,0.800669691390074,-4.52925211650494,-0.989001110993884,"Tetraselmis tetrahele_ESAW_25_4_1","Cubic"
"56",2,0.855590093942756,-11.3638640968973,-8.53166329248845,"Tetraselmis tetrahele_ESAW_25_4_1","Logistic"
"57",3,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_4_1","Logisticlag"
"58",4,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_4_1","Gompertz"
"59",5,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_4_1","Baranyi"
"60",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_4_1","Buchanan"
"61",1,0.774606270474979,-5.10076848426759,-2.67623523532759,"Tetraselmis tetrahele_ESAW_25_5_1","Cubic"
"62",2,0.901137796721415,-16.9902299332011,-15.0506033340491,"Tetraselmis tetrahele_ESAW_25_5_1","Logistic"
"63",3,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_5_1","Logisticlag"
"64",4,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_5_1","Gompertz"
"65",5,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_5_1","Baranyi"
"66",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_25_5_1","Buchanan"
"67",1,0.508096414407651,15.6712565007072,17.6607328646991,"Tetraselmis tetrahele_ESAW_32_1_1","Cubic"
"68",2,0.446974022637484,14.9596011705448,16.5511822617382,"Tetraselmis tetrahele_ESAW_32_1_1","Logistic"
"69",3,NA,NA,NA,"Tetraselmis tetrahele_ESAW_32_1_1","Logisticlag"
"70",4,0.604314945957401,13.2769507814228,15.2664271454147,"Tetraselmis tetrahele_ESAW_32_1_1","Gompertz"
"71",5,0.594396963707098,13.5492707571657,15.5387471211575,"Tetraselmis tetrahele_ESAW_32_1_1","Baranyi"
"72",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_32_1_1","Buchanan"
"73",1,0.988984912228958,-88.7114034642162,-81.8749243142838,"Stenotrophomonas.maltophilia.1_TSB_5_1_0","Cubic"
"74",2,0.964909565014266,-57.1101869835707,-51.6410036636248,"Stenotrophomonas.maltophilia.1_TSB_5_1_0","Logistic"
"75",3,0.996615644654395,-122.934376101816,-116.097896951884,"Stenotrophomonas.maltophilia.1_TSB_5_1_0","Logisticlag"
"76",4,NA,NA,NA,"Stenotrophomonas.maltophilia.1_TSB_5_1_0","Gompertz"
"77",5,0.997423406780686,-130.842541978745,-124.006062828813,"Stenotrophomonas.maltophilia.1_TSB_5_1_0","Baranyi"
"78",6,NA,NA,NA,"Stenotrophomonas.maltophilia.1_TSB_5_1_0","Buchanan"
"79",1,0.48067804198699,20.080065700952,22.0695420649438,"Tetraselmis tetrahele_ESAW_32_2_1","Cubic"
"80",2,0.386384960906711,19.9153466818052,21.5069277729987,"Tetraselmis tetrahele_ESAW_32_2_1","Logistic"
"81",3,NA,NA,NA,"Tetraselmis tetrahele_ESAW_32_2_1","Logisticlag"
"82",4,0.711257378885551,13.6231941050791,15.6126704690709,"Tetraselmis tetrahele_ESAW_32_2_1","Gompertz"
"83",5,0.714647104740476,13.4932944049145,15.4827707689064,"Tetraselmis tetrahele_ESAW_32_2_1","Baranyi"
"84",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_32_2_1","Buchanan"
"85",1,0.614046570323605,16.3165928738065,18.3060692377984,"Tetraselmis tetrahele_ESAW_32_3_1","Cubic"
"86",2,0.542375061865404,16.1902583221088,17.7818394133023,"Tetraselmis tetrahele_ESAW_32_3_1","Logistic"
"87",3,0.775039075965701,10.3789029011277,12.3683792651195,"Tetraselmis tetrahele_ESAW_32_3_1","Logisticlag"
"88",4,0.775039100733684,10.378901690038,12.3683780540299,"Tetraselmis tetrahele_ESAW_32_3_1","Gompertz"
"89",5,0.77503910214353,10.3789016211003,12.3683779850921,"Tetraselmis tetrahele_ESAW_32_3_1","Baranyi"
"90",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_32_3_1","Buchanan"
"91",1,0.644120656914267,16.4942037766731,18.9187370256131,"Tetraselmis tetrahele_ESAW_32_4_1","Cubic"
"92",2,0.577182848377279,16.5623806219213,18.5020072210733,"Tetraselmis tetrahele_ESAW_32_4_1","Logistic"
"93",3,0.838917016376783,6.9821386839686,9.4066719329086,"Tetraselmis tetrahele_ESAW_32_4_1","Logisticlag"
"94",4,0.838918387434141,6.98203654556796,9.40656979450796,"Tetraselmis tetrahele_ESAW_32_4_1","Gompertz"
"95",5,0.838917011922575,6.98213901578823,9.40667226472823,"Tetraselmis tetrahele_ESAW_32_4_1","Baranyi"
"96",6,NA,NA,NA,"Tetraselmis tetrahele_ESAW_32_4_1","Buchanan"
