Type.of.feeding.interaction,Predator.lifestage,Location,Slope,Intercept,R.squared,F.statistic,P.value
insectivorous,larva / juvenile,Strait of Georgia,0.384249046154571,3.60032838802312,0.125577629410637,4.30836287934848,0.0465944025225446
piscivorous,adult,Apalachicola Bay; Florida,0.315601167257104,6.96676095437558,0.13840835729043,13.4939818773465,0.000420131370657502
piscivorous,adult,Atlantic Ocean,0.260141577182126,6.29080531131297,0.167648928394049,2213.9660580383,0
piscivorous,adult,Cape Cod Bay; Gulf of Maine; New England,-0.00075571948748518,12.3638007966521,1.05682888325711e-05,0.000739788036573623,0.9783783713188
piscivorous,adult,Eastern Mediterranean,0.652009130082474,2.84395790386421,0.621375968997542,205.142805962542,3.90742334690279e-28
piscivorous,adult,Europe; Celtic Sea ecosystem,0.446320367632756,5.1972808252112,0.360856572626597,1179.43695879791,2.57239252512457e-205
piscivorous,adult,French Polynesian EEZ,-0.00344440892783732,9.80728447063054,0.000137077297159918,0.257603552962265,0.611830912872727
piscivorous,adult,Great Channel South; Gulf of Maine; New England,0.275645033772453,10.77512339479,0.236407118878563,224.458825408693,2.09079088296548e-44
piscivorous,adult,Great South Bay; Long Island; New York,0.381984962733834,3.04781706869486,0.268430572529679,108.242657392169,8.43412441946392e-22
piscivorous,adult,Gulf of Maine; New England,0.0637787507225829,12.140634178118,0.0036989019587081,0.293298135786887,0.589638854188326
piscivorous,adult,Jeffreys Ledge; Gulf of Maine; New England,0.107808454068971,11.3795272341053,0.0955172500566953,40.8688565638849,4.69052308104256e-10
piscivorous,adult,Mid Atlantic,0.102300793203792,4.15309731870386,0.0484716094614918,3.71867778814919,0.0576960215780974
piscivorous,adult,Off the Bay of Biscay,0.192985490250415,10.6433842999675,0.142626808084678,59.2217533239131,1.39971967104614e-13
piscivorous,adult,South of Marthas Vineyard; New England,0.486799091516026,9.90592950591141,0.136288598876772,2.20911797828935,0.159367429953626
piscivorous,adult,Stellwagen Bank; Gulf of Maine; New England,0.108492499541345,11.7923413214185,0.0385393345397022,20.2024121275006,8.65041891346358e-06
piscivorous,juvenile,Apalachicola Bay; Florida,0.255431068910441,7.61765814929771,0.0622128331867773,1.7911809368762,0.191944478653282
piscivorous,juvenile,Off the Bay of Biscay,3.02617565393957e-14,8.62335338724499,0.499986237162604,2976.83611664329,6.58962714844975e-06
piscivorous,juvenile,W Greenland,0.709121551017255,1.27848314402828,0.620397726006059,31.0523872001443,2.25023100017498e-05
piscivorous,larva / juvenile,Strait of Georgia,0.652630804441673,4.96732009411791,0.502262057547569,9.08180416316188,0.0146301686798566
piscivorous,postlarva,Antarctic Peninsula,0.106773528674382,-2.52746573405741,0.0389698693052271,1.25705314524184,0.270820006991041
piscivorous,postlarva/juvenile,Antarctic Peninsula,0.0940261157514698,0.242446120869743,0,NA,NA
